,feature,score
0,chance1x2_quote_real2,-1.0849560712267337
1,chance1x2_chance_p1x,-1.1721658785891942
2,chance1x2_chance_p2,-1.1783887837057978
3,chance1x2_chance_pHt2,-1.2832630123600257
4,chance1x2_chance_p2Ht1x,-1.2832630123600257
5,chance1x2_quote_diffInitialCurr2,-1.3504900544408551
6,underOver_quote_realO,-1.426801585204064
7,goalNoGoal_stats_avgGoalHome,-1.4725415095731484
8,chance1x2_quote_initial2,-1.4751966707412614
9,chance1x2_bookkeeping_p1,-1.4906610667161753
10,chance1x2_flashback_pHt1,-1.5269326863632224
11,underOver_quote_diffRealCurrO,-1.5579963436338897
12,chance1x2_flashback_p1,-1.5713781535956275
13,underOver_quote_currentO,-1.6032675194409347
14,chance1x2_chance_p1,-1.7379782295354878
15,chance1x2_chance_p2x,-1.7379782295354878
16,underOver_bookkeeping_u,-1.7462074808856256
17,underOver_bookkeeping_o,-1.7462074808856256
18,evaluation_valMetrica,-1.794470833859656
19,chance1x2_quote_diffRealCurr1,-1.8066527414978542
20,underOver_bookkeeping_avg,-1.8568681969808534
21,goalNoGoal_bookkeeping_gg,-1.8574655231413812
22,goalNoGoal_bookkeeping_ng,-1.8574655231413812
23,underOver_quote_initialO,-1.8785427450829772
24,underOver_flashback_over05HT,-1.8848315639003532
25,chance1x2_chance_pHt1,-1.892868526088726
26,goalNoGoal_quote_currentNG,-1.8952563575008525
27,goalNoGoal_comparison_flashback,-1.9008398712377914
28,chance1x2_chance_p2Ht2x,-1.9218335621681737
29,chance1x2_quote_diffRealCurrx,-1.928278555072854
30,underOver_bookkeeping_actual,-1.9793672309211245
31,chance1x2_quote_diffRealCurr2,-1.979762669517181
32,underOver_flashback_under25,-1.9839451940122224
33,underOver_flashback_over25,-1.9839451940122224
34,chance1x2_quote_current2,-2.0287872013817037
35,underOver_flashback_under15,-2.048095270272009
36,underOver_flashback_over15,-2.048095270272009
37,goalNoGoal_chance_goal,-2.0537049054242513
38,goalNoGoal_chance_noGoal,-2.0537049054242513
39,goalNoGoal_multigoal_m24Away,-2.095991190974324
40,chance1x2_flashback_pHtx,-2.0965473664045438
41,chance1x2_bookkeeping_p2,-2.1278428389475486
42,goalNoGoal_multigoal_m24Home,-2.1850849576201905
43,goalNoGoal_flashback_m24,-2.220124423263196
44,goalNoGoal_multigoal_m13Home,-2.24231140306302
45,underOver_quote_diffInitialCurrO,-2.245894504949627
46,goalNoGoal_stats_avgGoalTakenAway,-2.2618266405876444
47,underOver_chance_under05HT,-2.292498253063332
48,underOver_quote_realU,-2.301803110942766
49,chance1x2_quote_diffInitialCurr1,-2.302653703019493
50,chance1x2_chance_px,-2.30532801284098
51,chance1x2_chance_p12,-2.3353918196058174
52,goalNoGoal_chance_goalAway,-2.345696132362917
53,chance1x2_bookkeeping_px,-2.3482590256812617
54,goalNoGoal_quote_initialGG,-2.3527000597942753
55,underOver_chance_under15,-2.377409634746733
56,chance1x2_comparison_flashback,-2.3877486042331837
57,underOver_chance_under25,-2.4260210308496135
58,underOver_chance_over25,-2.4260210308496135
59,underOver_chance_under45,-2.439820395930682
60,underOver_chance_over45,-2.439820395930682
61,underOver_quote_diffRealCurrU,-2.496782196497958
62,goalNoGoal_quote_realGG,-2.551434240031124
63,goalNoGoal_quote_diffInitialCurrNG,-2.5525524391262513
64,underOver_chance_over15,-2.5822255898218462
65,goalNoGoal_quote_diffInitialCurrGG,-2.687266570931566
66,underOver_bookkeeping_status,-2.695954686184039
67,underOver_comparison_flashback,-2.697573633193145
68,goalNoGoal_quote_diffRealCurrNG,-2.7033059340368304
69,chance1x2_quote_currentx,-2.7283342894836107
70,goalNoGoal_multigoal_m35,-2.7592212123867426
71,underOver_quote_currentU,-2.79059206441173
72,chance1x2_xg_total,-2.8548708192194807
73,goalNoGoal_multigoal_m13Away,-2.8652643897257066
74,chance1x2_quote_realx,-2.8655983959740055
75,goalNoGoal_comparison_affini,-2.8676496779180227
76,underOver_quote_diffInitialCurrU,-2.8780981560360237
77,underOver_chance_under15HT,-2.9616986988126452
78,underOver_chance_over15HT,-2.9616986988126452
79,goalNoGoal_quote_currentGG,-2.9658091952782617
80,chance1x2_quote_initialx,-2.987452021243824
81,goalNoGoal_quote_diffRealCurrGG,-3.0099288222733813
82,goalNoGoal_multigoal_m24,-3.014860804207107
83,goalNoGoal_stats_avgGoalTakenHome,-3.0998292306981874
84,underOver_comparison_affini,-3.129299956583959
85,underOver_quote_initialU,-3.1795667506223997
86,chance1x2_flashback_p2,-3.2114195407258603
87,goalNoGoal_quote_initialNG,-3.232153032119834
88,goalNoGoal_bookkeeping_actual,-3.237822166193491
89,goalNoGoal_multigoal_m13,-3.2769342401211357
90,chance1x2_quote_diffInitialCurrx,-3.3437896704896963
91,chance1x2_xg_home,-3.372587310571223
92,goalNoGoal_stats_avgGoalAway,-3.3890006745092958
93,evaluation_val1x2,-3.468350001515183
94,goalNoGoal_chance_even,-3.477278352646402
95,chance1x2_quote_real1,-3.5194716182922114
96,goalNoGoal_quote_realNG,-3.5541403423591458
97,chance1x2_xg_away,-3.784800721440263
98,chance1x2_chance_pHtx,-3.7995552922231086
99,chance1x2_chance_p2Ht12,-3.7995552922231086
100,goalNoGoal_multigoal_m14,-3.980182075884567
101,underOver_chance_over052HT,-3.9928360285415416
102,underOver_chance_under052HT,-4.116696058300724
103,underOver_flashback_under35,-4.202711100297904
104,underOver_flashback_over35,-4.202711100297904
105,goalNoGoal_chance_goalHome,-4.405649498713078
106,goalNoGoal_bookkeeping_status,-4.443191362283707
107,chance1x2_quote_initial1,-4.4901369554859105
108,chance1x2_quote_current1,-4.662575300424075
109,underOver_chance_under35,-4.695879759551316
110,underOver_chance_over35,-4.695879759551316
111,evaluation_valUnderOver,-4.754796838020951
112,chance1x2_bookkeeping_actual,-4.798995521337071
113,chance1x2_flashback_px,-4.970000616000567
114,goalNoGoal_flashback_goal,-4.976615683994983
115,goalNoGoal_flashback_noGoal,-4.976615683994983
116,goalNoGoal_chance_odd,-5.225443482949345
