,feature,score
0,underOver_quote_diffRealCurrU,-0.633442928611979
1,goalNoGoal_stats_avgGoalTakenAway,-0.7334159125984016
2,goalNoGoal_flashback_m24,-0.824293346264802
3,underOver_chance_under45,-0.8347632137317837
4,underOver_chance_over45,-0.8347632137317837
5,underOver_chance_under25,-0.8375312097591345
6,underOver_chance_over25,-0.8375312097591345
7,goalNoGoal_bookkeeping_actual,-0.871047179526248
8,underOver_flashback_under25,-0.8829591198293085
9,underOver_flashback_over25,-0.8829591198293085
10,underOver_quote_realU,-0.9118809819487166
11,underOver_quote_realO,-0.9127207559540746
12,goalNoGoal_quote_diffInitialCurrNG,-0.9302824545571801
13,goalNoGoal_multigoal_m24Home,-0.9346980481929235
14,goalNoGoal_quote_realGG,-0.9826273492741332
15,goalNoGoal_stats_avgGoalTakenHome,-1.020942932321088
16,goalNoGoal_chance_goalHome,-1.0291068715379423
17,goalNoGoal_quote_realNG,-1.084478994051938
18,goalNoGoal_stats_avgGoalAway,-1.1136413223292305
19,underOver_flashback_under05HT,-1.1202984742213207
20,underOver_flashback_over05HT,-1.1202984742213207
21,underOver_quote_diffRealCurrO,-1.1284760268735066
22,underOver_quote_diffInitialCurrU,-1.1366545966350952
23,goalNoGoal_quote_diffInitialCurrGG,-1.1395383402183836
24,goalNoGoal_quote_initialNG,-1.1506724653621658
25,underOver_chance_over052HT,-1.1521605883843375
26,goalNoGoal_multigoal_m35,-1.171575720889269
27,goalNoGoal_quote_diffRealCurrNG,-1.182532044106477
28,goalNoGoal_multigoal_m13,-1.189509251945373
29,goalNoGoal_chance_even,-1.1902988628400457
30,goalNoGoal_chance_odd,-1.1902988628400457
31,goalNoGoal_comparison_flashback,-1.199250566357413
32,evaluation_valScala,-1.2025249518695125
33,evaluation_val1x2,-1.2063829596332656
34,goalNoGoal_multigoal_m13Home,-1.2134047419352463
35,underOver_comparison_flashback,-1.2191703283134625
36,evaluation_valUnderOver,-1.2247374357039986
37,goalNoGoal_multigoal_m13Away,-1.2369459252848436
38,goalNoGoal_chance_goalAway,-1.248840777339007
39,underOver_chance_under15,-1.2760478616914335
40,goalNoGoal_flashback_m13,-1.3020838952694778
41,underOver_chance_under15HT,-1.318493927316483
42,underOver_chance_over15HT,-1.318493927316483
43,goalNoGoal_quote_diffRealCurrGG,-1.3399560730017934
44,underOver_bookkeeping_actual,-1.3611140342048929
45,underOver_quote_diffInitialCurrO,-1.3620174825224638
46,goalNoGoal_multigoal_m24,-1.3725847969869824
47,goalNoGoal_bookkeeping_status,-1.3872096533097913
48,goalNoGoal_chance_goal,-1.3954349775983856
49,goalNoGoal_chance_noGoal,-1.3954349775983856
50,underOver_chance_over15,-1.4241838615094784
51,underOver_comparison_affini,-1.4268402261341788
52,goalNoGoal_multigoal_m24Away,-1.466881635074476
53,underOver_flashback_over15,-1.5000890115714458
54,underOver_flashback_under35,-1.5412410938543775
55,underOver_flashback_over35,-1.5412410938543775
56,underOver_chance_under052HT,-1.5484292379652693
57,goalNoGoal_comparison_affini,-1.5513765826524955
58,goalNoGoal_flashback_goal,-1.5589129862207418
59,goalNoGoal_flashback_noGoal,-1.5589129862207418
60,goalNoGoal_bookkeeping_gg,-1.598313761584316
61,goalNoGoal_bookkeeping_ng,-1.598313761584316
62,underOver_bookkeeping_status,-1.75508247343628
63,underOver_quote_initialO,-1.7598412861441812
64,underOver_quote_currentO,-1.790619703828069
65,underOver_chance_under05HT,-1.8079080915274324
66,underOver_chance_over05HT,-1.8079080915274324
67,goalNoGoal_stats_avgGoalHome,-1.8639188473868338
68,evaluation_valMetrica,-1.8959296072775715
69,underOver_flashback_under15,-1.9509952368372918
70,underOver_chance_under35,-1.9737560591704189
71,underOver_chance_over35,-1.9737560591704189
72,goalNoGoal_multigoal_m14,-2.04920255004332
73,goalNoGoal_quote_currentGG,-2.0909705436284525
74,goalNoGoal_flashback_m35,-2.2017842390945392
75,underOver_bookkeeping_u,-2.371604847670951
76,underOver_bookkeeping_o,-2.371604847670951
77,goalNoGoal_quote_initialGG,-2.45527800157715
78,underOver_bookkeeping_avg,-2.474460257495573
79,underOver_quote_initialU,-2.880028561974936
80,underOver_bookkeeping_arrow,-3.498350092893804
81,goalNoGoal_bookkeeping_arrow,-3.81177648310932
82,goalNoGoal_quote_currentNG,-4.997147277315866
83,goalNoGoal_bookkeeping_avg,-5.242650948852498
